time (s), 1.250000,time (s), 2.500000,time (s), 5.000000
1.390000000000000000e+02,1.595100000000000051e+01,1.390000000000000000e+02,2.356899999999999906e+01,1.390000000000000000e+02,3.128999999999999915e+01
1.400000000000000000e+02,1.615099999999999980e+01,1.400000000000000000e+02,2.376899999999999835e+01,1.400000000000000000e+02,3.139000000000000057e+01
1.410000000000000000e+02,1.615099999999999980e+01,1.410000000000000000e+02,2.376899999999999835e+01,1.410000000000000000e+02,3.139000000000000057e+01
1.420000000000000000e+02,1.625100000000000122e+01,1.420000000000000000e+02,2.386899999999999977e+01,1.420000000000000000e+02,3.158999999999999986e+01
1.430000000000000000e+02,1.615099999999999980e+01,1.430000000000000000e+02,2.376899999999999835e+01,1.430000000000000000e+02,3.148999999999999844e+01
1.440000000000000000e+02,1.615099999999999980e+01,1.440000000000000000e+02,2.396900000000000119e+01,1.440000000000000000e+02,3.158999999999999986e+01
1.450000000000000000e+02,1.635099999999999909e+01,1.450000000000000000e+02,2.406899999999999906e+01,1.450000000000000000e+02,3.169000000000000128e+01
1.460000000000000000e+02,1.645100000000000051e+01,1.460000000000000000e+02,2.406899999999999906e+01,1.460000000000000000e+02,3.178999999999999915e+01
1.550000000000000000e+02,1.525099999999999945e+01,1.550000000000000000e+02,2.276899999999999835e+01,1.550000000000000000e+02,3.008999999999999986e+01
1.560000000000000000e+02,1.515099999999999980e+01,1.560000000000000000e+02,2.266900000000000048e+01,1.560000000000000000e+02,2.978999999999999915e+01
1.570000000000000000e+02,1.535100000000000087e+01,1.570000000000000000e+02,2.276899999999999835e+01,1.570000000000000000e+02,2.989000000000000057e+01
1.580000000000000000e+02,1.535100000000000087e+01,1.580000000000000000e+02,2.246900000000000119e+01,1.580000000000000000e+02,2.989000000000000057e+01
1.590000000000000000e+02,1.505100000000000016e+01,1.590000000000000000e+02,2.226899999999999835e+01,1.590000000000000000e+02,2.948999999999999844e+01
1.600000000000000000e+02,1.515099999999999980e+01,1.600000000000000000e+02,2.226899999999999835e+01,1.600000000000000000e+02,2.928999999999999915e+01
1.610000000000000000e+02,1.505100000000000016e+01,1.610000000000000000e+02,2.206899999999999906e+01,1.610000000000000000e+02,2.919000000000000128e+01
1.620000000000000000e+02,1.505100000000000016e+01,1.620000000000000000e+02,2.206899999999999906e+01,1.620000000000000000e+02,2.908999999999999986e+01
1.630000000000000000e+02,1.515099999999999980e+01,1.630000000000000000e+02,2.216900000000000048e+01,1.630000000000000000e+02,2.908999999999999986e+01
1.640000000000000000e+02,1.495100000000000051e+01,1.640000000000000000e+02,2.196900000000000119e+01,1.640000000000000000e+02,2.898999999999999844e+01
1.650000000000000000e+02,1.485100000000000087e+01,1.650000000000000000e+02,2.186899999999999977e+01,1.650000000000000000e+02,2.869000000000000128e+01
1.660000000000000000e+02,1.495100000000000051e+01,1.660000000000000000e+02,2.196900000000000119e+01,1.660000000000000000e+02,2.869000000000000128e+01
