time (s), 1.250000,time (s), 2.500000,time (s), 5.000000
1.400000000000000000e+02,7.509999999999999787e+00,1.400000000000000000e+02,1.248099999999999987e+01,1.400000000000000000e+02,1.898699999999999832e+01
1.410000000000000000e+02,7.709999999999999964e+00,1.410000000000000000e+02,1.258099999999999952e+01,1.410000000000000000e+02,1.908699999999999974e+01
1.420000000000000000e+02,7.610000000000000320e+00,1.420000000000000000e+02,1.268099999999999916e+01,1.420000000000000000e+02,1.908699999999999974e+01
1.430000000000000000e+02,7.610000000000000320e+00,1.430000000000000000e+02,1.258099999999999952e+01,1.430000000000000000e+02,1.908699999999999974e+01
1.440000000000000000e+02,7.509999999999999787e+00,1.440000000000000000e+02,1.258099999999999952e+01,1.440000000000000000e+02,1.898699999999999832e+01
1.450000000000000000e+02,7.610000000000000320e+00,1.450000000000000000e+02,1.258099999999999952e+01,1.450000000000000000e+02,1.908699999999999974e+01
1.460000000000000000e+02,7.509999999999999787e+00,1.460000000000000000e+02,1.258099999999999952e+01,1.460000000000000000e+02,1.908699999999999974e+01
1.550000000000000000e+02,7.610000000000000320e+00,1.550000000000000000e+02,1.268099999999999916e+01,1.550000000000000000e+02,1.888700000000000045e+01
1.560000000000000000e+02,7.610000000000000320e+00,1.560000000000000000e+02,1.268099999999999916e+01,1.560000000000000000e+02,1.898699999999999832e+01
1.570000000000000000e+02,7.709999999999999964e+00,1.570000000000000000e+02,1.278100000000000058e+01,1.570000000000000000e+02,1.888700000000000045e+01
1.580000000000000000e+02,7.809999999999999609e+00,1.580000000000000000e+02,1.268099999999999916e+01,1.580000000000000000e+02,1.888700000000000045e+01
1.590000000000000000e+02,7.809999999999999609e+00,1.590000000000000000e+02,1.268099999999999916e+01,1.590000000000000000e+02,1.898699999999999832e+01
1.600000000000000000e+02,7.809999999999999609e+00,1.600000000000000000e+02,1.268099999999999916e+01,1.600000000000000000e+02,1.888700000000000045e+01
1.610000000000000000e+02,7.809999999999999609e+00,1.610000000000000000e+02,1.288100000000000023e+01,1.610000000000000000e+02,1.888700000000000045e+01
1.620000000000000000e+02,7.709999999999999964e+00,1.620000000000000000e+02,1.258099999999999952e+01,1.620000000000000000e+02,1.878699999999999903e+01
1.630000000000000000e+02,7.709999999999999964e+00,1.630000000000000000e+02,1.278100000000000058e+01,1.630000000000000000e+02,1.878699999999999903e+01
1.640000000000000000e+02,7.809999999999999609e+00,1.640000000000000000e+02,1.278100000000000058e+01,1.640000000000000000e+02,1.878699999999999903e+01
1.650000000000000000e+02,7.809999999999999609e+00,1.650000000000000000e+02,1.268099999999999916e+01,1.650000000000000000e+02,1.878699999999999903e+01
1.660000000000000000e+02,7.809999999999999609e+00,1.660000000000000000e+02,1.268099999999999916e+01,1.660000000000000000e+02,1.868700000000000117e+01
1.670000000000000000e+02,7.809999999999999609e+00,1.670000000000000000e+02,1.278100000000000058e+01,1.670000000000000000e+02,1.868700000000000117e+01
1.680000000000000000e+02,7.709999999999999964e+00,1.680000000000000000e+02,1.248099999999999987e+01,1.680000000000000000e+02,1.858699999999999974e+01
1.690000000000000000e+02,7.709999999999999964e+00,1.690000000000000000e+02,1.268099999999999916e+01,1.690000000000000000e+02,1.868700000000000117e+01
1.700000000000000000e+02,7.610000000000000320e+00,1.700000000000000000e+02,1.248099999999999987e+01,1.700000000000000000e+02,1.858699999999999974e+01
1.710000000000000000e+02,7.709999999999999964e+00,1.710000000000000000e+02,1.258099999999999952e+01,1.710000000000000000e+02,1.848699999999999832e+01
1.720000000000000000e+02,7.709999999999999964e+00,1.720000000000000000e+02,1.258099999999999952e+01,1.720000000000000000e+02,1.838700000000000045e+01
1.730000000000000000e+02,7.809999999999999609e+00,1.730000000000000000e+02,1.268099999999999916e+01,1.730000000000000000e+02,1.838700000000000045e+01
1.740000000000000000e+02,7.809999999999999609e+00,1.740000000000000000e+02,1.258099999999999952e+01,1.740000000000000000e+02,1.838700000000000045e+01
1.750000000000000000e+02,7.709999999999999964e+00,1.750000000000000000e+02,1.248099999999999987e+01,1.750000000000000000e+02,1.828699999999999903e+01
1.760000000000000000e+02,7.509999999999999787e+00,1.760000000000000000e+02,1.238100000000000023e+01,1.760000000000000000e+02,1.818700000000000117e+01
